"time","delta","opening","opponent_exp","eval_depth","white_elo","black_elo","poi_is_white","termination","index_after_merge"
490,2,"1. e4 c5 2. d4 cxd4 3. c3 dxc3 ",86,20,1335,1357,0,"won by resignation",175
65,0,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",7,20,1370,1349,0,"won by resignation",393
274,0,"1. e4 c6 2. d4 d5 3. e5 Bf5 ",39,20,1356,1310,1,"won by resignation",438
596,1,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",42,20,1430,1366,0,"won by resignation",411
405,0,"1. d4 d5 2. c4 e5 3. dxe5 d4 ",1,20,1357,1358,0,"won by resignation",62
15882,1,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",3,20,938,1217,0,"won by checkmate",416
553,0,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",3,20,1366,1370,1,"won by resignation",616
319,1,"1. e4 c5 2. Nc3 g6 3. Bc4 Bg7 ",2,20,1386,1375,0,"won by checkmate",211
375,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 ",2,20,1374,1311,1,"draw",566
483,2,"1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 ",1,20,1366,1399,1,"won by resignation",346
493,0,"1. e4 c5 2. Nf3 Nc6 3. Bc4 e6 ",2,20,1332,1373,0,"won by resignation",350
441,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",2,20,1363,1326,1,"won by resignation",291
118,1,"1. d4 d5 2. c4 Nc6 3. Nc3 dxc4 ",10,20,1233,1259,0,"draw",81
104,2,"1. e4 e6 2. d4 Ne7 3. Nf3 g6 ",8,20,1251,1288,1,"won by resignation",669
72,0,"1. Nf3 d5 2. Nc3 Nc6 3. d4 e6 ",1,20,1277,1243,0,"won by resignation",709
136,0,"1. e4 c6 2. d4 d5 3. e5 Bf5 ",0,20,1235,1236,1,"won by resignation",425
119,1,"1. e3 Nc6 2. d3 Nf6 3. c3 e6 ",1,20,1206,1226,0,"won by resignation",119
127,2,"1. e4 d6 2. Be2 e6 3. Nf3 f6 ",2,20,1218,1214,1,"won by resignation",502
123,0,"1. e4 c5 2. f4 Nc6 3. Nf3 g6 ",7,20,1168,1225,0,"won by resignation",195
141,1,"1. g3 d5 2. Bg2 Nf6 3. d3 Bf5 ",2,20,1222,1217,0,"won by resignation",700
135,0,"1. e4 e5 2. Nf3 Bc5 3. Bc4 d6 ",28,20,1225,1198,1,"won by resignation",515
131,2,"1. e4 b6 2. d4 Bb7 3. Nc3 Nf6 ",77,20,1219,1325,1,"won by resignation",127
140,2,"1. e4 c5 2. d4 cxd4 3. Qxd4 Nc6 ",4,20,1258,1228,0,"won by resignation",184
48,2,"1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 ",41,20,1220,1238,1,"won by resignation",691
45,2,"1. e4 e5 2. Nf3 c6 3. c3 Qb6 ",1,20,1229,1240,1,"game abandoned",518
120,0,"1. d4 d5 2. Bf4 c5 3. e3 Nc6 ",2,20,1239,1237,0,"won by resignation",29
258,2,"1. e4 c5 2. a3 Nc6 3. Bc4 Nf6 ",2,20,1308,1370,0,"won by resignation",131
148,2,"1. e4 c6 2. d4 d5 3. e5 c5 ",27,20,1380,1447,1,"game abandoned",449
432,2,"1. e4 c5 2. Nc3 Nc6 3. d3 g6 ",3,20,1369,1388,0,"won by resignation",217
420,0,"1. e4 c5 2. Nf3 Nc6 3. Bc4 e6 ",9,20,1397,1380,0,"won by resignation",353
429,0,"1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6 ",48,18,1387,1312,1,"won by resignation",641
454,1,"1. Nf3 Nf6 2. d4 g6 3. g3 Bg7 ",1,20,1268,1376,0,"won by checkmate",712
355,0,"1. e4 b6 2. d4 Bb7 3. Nc3 g6 ",10,16,1385,1422,1,"won by resignation",126
218,0,"1. e4 e6 2. d4 d5 3. e5 c5 ",66,20,1393,1395,1,"won by resignation",659
514,2,"1. e4 c5 2. Nf3 Nc6 3. g3 g6 ",1,20,1493,1387,0,"won by resignation",417
499,1,"1. e4 c5 2. Nf3 Nc6 3. Be2 g6 ",3,20,1342,1394,0,"won by resignation",360
600,1,"1. e4 c6 2. d4 d5 3. e5 c5 ",30,20,1385,1341,1,"won by resignation",450
492,0,"1. e4 c5 2. Nf3 Nc6 3. c3 g6 ",1,20,1358,1376,0,"won by resignation",366
461,0,"1. e4 c6 2. d4 d5 3. e5 c5 ",8,20,1385,1406,1,"won by resignation",451
336,2,"1. e4 e5 2. Nf3 Nf6 3. Nxe5 Bc5 ",6,18,1377,1405,1,"won by resignation",631
391,0,"1. e4 c5 2. Nf3 Nc6 3. Bc4 e6 ",13,18,1417,1370,0,"won by resignation",354
83,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 ",2,20,1361,1338,1,"won by resignation",562
259,0,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 ",4,20,1369,1351,1,"won by resignation",497
